jackpot,title,bonus,coins_range,volatility,slot_reels,software
Classic Slot,Golden Caravan Slot Review,Starts at 10 Free Spins / Starts with 2x Multiplier,0.01 - 2.00,High,5 Reels / 10 Paylines,Mobile Classic Slot by Play'nGo
Video Slot,Sails of Gold Slot Review,Starts at 10 Free Spins / No Multipliers,0.01 - 2.00,Low/Medium,5 Reels / 10 Paylines,Mobile Video Slot by Play'nGo
Video Slot,Jimi Hendrix Slot Review,"Up to 12 Free Spins / Wild Reels, or Extra Wilds",0.01 - 1.00,Medium,5 Reels / 20 Paylines,Mobile Video Slot by NetEnt
Video Slot,King Kong (NextGen) Slot Review,"Free Spins, Mystery Prizes, Expanded Wild",0.01 - 2.00,Medium/High,5 Reels / 25 Paylines,Mobile Video Slot by NextGen
Video Slot,Jason’s Quest Slot Review,Up to 10 Free Spins / 3x Multiplier or Instant Wins,0.01 - 2.00,Low/Medium,5 Reels / 25 Paylines,Mobile Video Slot by Genesis
Video Slot,More Monkeys Slot Review,"Wilds, Scatters, Free Spins, 3 Jackpots",0.01 - 1.25,Low/Medium,5 Reels / 1024 Ways to Win,Mobile Video Slot
Video Slot,Neon Reels Slot Review,10 Free Spins / Up to 3x Multiplier on the Wild,0.01 - 1.00,Low/Medium,Progressive - a few hundreds to a few thousands,Mobile Video Slot by iSoftBet
Video Slot,The Rift Slot Review,"Re-spins, Extra Wilds, Sticky Wilds, Free Spins, Scatters",0.10 / 100,Low/Medium,5 Reels / 17 Paylines,Mobile Video Slot by Thunderkick
Video Slot,Wizard of Oz Ruby Slippers Slot Review,"Free Spins, Multipliers, Instant Cash, Click Me Bonus",0.30 - 1.00,Medium/High,3 Reels / 30 Paylines,Mobile Video Slot by WMS
Video Slot,1429 Uncharted Seas Slot Review,"Expanding Wilds, Free Spins",0.10 / 100,Low/Medium,5 Reels / 25 Paylines,Mobile Video Slot by Thunderkick
Video Slot,A Dragon’s Story Slot Review,10 Free Spins / 2x Multipliers,0.01 - 2.00,Low/Medium,5 Reels / 25 Paylines,Mobile Video Slot by NextGen
Video Slot,Witch Pickings Slot Review,"Wilds, Scatters, Free Spins, Multipliers, Symbol Prizes",40 / 80,0.01 - 2.00,5 Reels / 25 Paylines,Mobile Video Slot by NextGen
Video Slot,The Wild Chase Slot Review,10 Free Spins / 1x Guaranteed Wild on Each Spin,0.01,Low/Medium,5 Reels / 25 Paylines,Mobile Video Slot by Quickspin
Video Slot,Aloha Cluster Pays Slot Review,Up to 12 Free Spins / Lower symbols removed,0.01 - 2.00,Low/Medium,6 Reels / All Ways Pay,Mobile Video Slot by NetEnt
Video Slot,Potion Factory Slot Review,"Free Spins, Expanded Wilds, Sticky Wilds, Instant cash, Click Me Bonus",0.01 - 0.50,Medium/High,5 Reels / 40 Paylines,Mobile Video Slot by Leander Games
Video Slot,Bar Bar Black Sheep Slot Review,Up to 20 Free Spins / 3x Multiplier,0.01 - 0.50,Low,5 Reels / 15 Paylines,Mobile Video Slot by Microgaming
Video Slot,Cloud Quest Slot Review,"Free Spins, Wilds, Multipliers, Scatters, Instant Cash",0.10 / 100 (not at all casinos),Low/Medium,5 Reels / All Ways Pay,Mobile Video Slot by Play'nGo
Video Slot,Rainbow Riches Pick n Mix Slot Review,Up to 30 Free Spins / No Multipliers,0.01 - 25,Low/Medium,5 Reels / 20 Paylines,Mobile Video Slot by WMS
Video Slot,Toki Time Slot Review,"Expanded Wilds, Re-spins, Pays Both Ways",0.10 / 200,Low/Medium,5 Reels / 10 Paylines,Mobile Video Slot by Thunderkick
Video Slot,Fruit Warp Slot Review,"Fruit Warping, & Fruit Modes",0.10 / 100,Medium,5 Reels / All Ways Pay,Mobile Video Slot by Thunderkick
Video Slot,Wild Orient Slot Review,15 Free Spins / 3x Multipliers,0.01 - 0.50,Medium,5 Reels / 243 Paylines,Mobile Video Slot by Microgaming
Classic Slot,MegaJackpots Isle O’Plenty Slot Review,Up to 24 Free Spins / Guaranteed Wild Rush,Low,9.01% - 7.03%%,"Seeds 500,000, Goes up to about 800,000 to 1 Million usually",Mobile Classic Slot by IGT
Video Slot,Frogs ‘n Flies Slot Review,"Wilds, Scatters, Free spins",0.01 - 0.10,Medium,5 Reels / 1024 Ways to Win,Mobile Video Slot
Video Slot,Samba Carnival Slot Review,None,0.01 - 0.25,Medium,5 Reels / 15 Paylines,Mobile Video Slot by Play'nGo
Video Slot,Dragon Dance Slot Review,15 Free Spins / 3x Multipliers,0.01 - 0.50,Medium,5 Reels / 243 Paylines,Mobile Video Slot by Microgaming
Video Slot,Bikini Party Slot Review,15 Free Spins / 3x Multiplier,0.01 - 0.50,Medium,5 Reels / 243 Paylines,Mobile Video Slot by Microgaming
Classic Slot,Hot Roll Super Times Pay Slot Review,"Wilds, Multipliers, Dice Round",0.01 - 10,Low,3 Reels / 20 Paylines,Mobile Classic Slot by IGT
Video Slot,Fantasini Master of Mystery Slot Review,No Free Spins or Multipliers,0.01 - 0.05,Medium/High,5 Reels / 243 Paylines,Mobile Video Slot by NetEnt
Video Slot,Epic Monopoly II Slot Review,Up to 20 Free Spins / Transfering Wilds,0.01 - 1.00,Low/Medium,5 Reels / 100 Paylines,Mobile Video Slot by WMS
Video Slot,Genies Touch Slot Review,10 Free Spins / More Wilds and Lamps,0.01 - 5.00,Low/Medium,5 Reels / 20 Paylines,Mobile Video Slot by Quickspin
Video Slot,Cash Cave Slot Review,Up to 15 Free Spins / Increasing Multipliers,0.01 - 0.75,Medium/High,5 Reels / 100 Paylines,Mobile Video Slot
Video Slot,Drive Multiplier Mayhem Slot Review,Starts with 10 Free Spins / Wild Overlays,0.01 - 0.50,High,5 Reels / 15 Paylines,Mobile Video Slot by NetEnt
Video Slot,Clash of Queens Slot Review,Up to 8 Free Spins / Expanding Wilds,0.01 - 10,Low/Medium,5 Reels / 25 Paylines,Mobile Video Slot by Genesis
Video Slot,Action Bank Slot Review,Up to 30 free spins / Double symbols,0.01 - 20,Medium,5 Reels / 20 Paylines,Mobile Video Slot by Barcrest
Video Slot,Nemo’s Voyage Slot Review,"Multipliers, Free Spins, Stacked Wilds, Wild Reels",0.01 - 5.00,Medium,5 Reels / 40 Paylines,Mobile Video Slot by WMS
Video Slot,Little Red Riding Reels Slot Review,,0.75 / 99,0.05 - 6.60,5 Reels / 15 Paylines,Mobile Video Slot by mFortune
Video Slot,Guns n Roses Slot Review,10 Free Spins / Stacked wild covers 1 reel on every spin,0.01 - 1.00,Medium,5 Reels / 20 Paylines,Mobile Video Slot by NetEnt
Video Slot,Rich Wilde and The Book of Dead Slot Review,10 Free Spins / Random Expanding Scatter Symbol,0.01 - 2.00,High,5 Reels / 10 Paylines,Mobile Video Slot by Play'nGo
Video Slot,Untamed Giant Panda Slot Review,10 Free Spins / Sticky Wilds,0.01 - 0.05,Low,5 Reels / 243 Paylines,Mobile Video Slot by Microgaming
Video Slot,Nordic Heroes Slot Review,Unlimited / Wild Multipliers,0.01 - 20.00,Low/Medium,5 Reels / 30 Paylines,Mobile Video Slot by IGT
Video Slot,Roaming Reels Slot Review,Up to 20 Free Spins / Further Stacked Wilds,0.01 - 0.75,High,5 Reels / 100 Paylines,Mobile Video Slot
Video Slot,DJ Wild Slot Review,"Expanding wilds with re-spins, win both ways",0.25 / 100,Medium,5 Reels / 10 Paylines,Mobile Video Slot
January 2015,Pixie Gold Slot Review,1 Free Re-spins / Richer Reels,0.01 - 2.00,Low,5 Reels / 1024 Ways to Win,Mobile Video Slot
Video Slot,Spin Sorceress Slot Review,10 Free Spins / Guaranteed Wild on Every Spin,0.01 - 2.00,High,5 Reels / 243 Paylines,Mobile Video Slot by NextGen
Video Slot,Rocket Returns Slot Review,"Wilds, Free Spins, Multipliers",0.15 / 150,Low/Medium,3 Reels / All Ways Pay,Mobile Video Slot by WMS
"Over 1,000 times your bet",Purple Hot Slot Review,None,0.05 / 25,0.01 - 5.00,5 Reels / 5 Paylines,Mobile Video Slot by Playtech
Video Slot,Wishing You Fortune Slot Review,Up to 25 Free Spins / up to 30x Multiplier,Medium/High,4%,Non-Progressive,Mobile Video Slot by WMS
Video Slot,Life of Brian Slot Review,,0.30 / 999.90,0.01 - 33.33,5 Reels / 30 Paylines,Mobile Video Slot by Playtech
Video Slot,Chilli Gold Slot Review,Up to 21 Free Spins / Increasing Stacked Wilds,0.01 - 1.00,Medium,5 Reels / 40 Paylines,Mobile Video Slot
Video Slot,Mustang Money Slot Review,10 free spins / Up to 10x multipliers,0.01 - 0.75,High,5 Reels / 100 Paylines,Mobile Video Slot
From a few hundred to tens of thousands,X-Men 50 Lines Slot Review,,0.50 / 50,0.01 - 1.00,5 Reels / 50 Paylines,Mobile Video Slot by Playtech
Video Slot,Birds on a Wire Slot Review,"Wilds, Scatters, Cascading Reels, Multipliers,",0.10 / 100,Medium/High,5 Reels / 17 Paylines,Mobile Video Slot by Thunderkick
Over 1 million,Jackpot Giant Slot Review,,0.50 / 4,0.01 - 0.08,5 Reels / 50 Paylines,Mobile Video Slot by Playtech
Video Slot,Wizard of Gems Slot Review,10 Free Spins / Wilds on every spin,0.01 - 5.00,Medium,5 Reels / 20 Paylines,Mobile Video Slot by Play'nGo
Video Slot,Second Strike Slot Review,None,0.01 - 10.00,Medium,5 Reels / 10 Paylines,Mobile Video Slot by Quickspin
Video Slot,Family Guy Slot Review,Start at 10 Free Spins / Earn Extra Wilds,0.01 - 30,Medium,5 Reels / 30 Paylines,Mobile Video Slot by IGT
Video Slot,James Dean Slot Review,Starts at 10 Free Spins / Up to 5x Multipliers,0.01 - 2.00,Medium/High,5 Reels / 25 Paylines,Mobile Video Slot by NextGen
Video Slot,Dragon Lines Slot Review,10 Free Spins / Richer Reels,0.01 - 0.75,Medium,5 Reels / 100 Paylines,Mobile Video Slot
Video Slot,Lucky Koi Slot Review,Up to 30 Free Spins / Up to 5x Multiplier,0.01 - 0.10,Medium,5 Reels / 25 Paylines,Mobile Video Slot by Microgaming
Video Slot,Happy Holidays Slot Review,10 Free Spins / 1024 Ways to Win,0.01 - 0.10,Medium/High,5 Reels / 243 Paylines,Mobile Video Slot by Microgaming
Video Slot,So Much Sushi Slot Review,Up to 16 Free Spins / 1 high paying symbol,0.01 - 0.20,Low/Medium,5 Reels / 25 Paylines,Mobile Video Slot by Microgaming
5 Reels / 25 Paylines,So Many Monsters Slot Review,"Wilds, Scatters, Free Spins",0.25 / 100,0.01 - 0.20,4% to 3%,Mobile Video Slot by Microgaming
Video Slot,The Riches of Don Quixote Slot Review,,0.25 / 25,0.01 - 1.00,5 Reels / 25 Paylines,Mobile Video Slot by Playtech
Video Slot,Koi Princess Slot Review,Starts at 10 Free Spins / Multiple Bonus Features,0.01 - 1.00,Low,5 Reels / 20 Paylines,Mobile Video Slot by NetEnt
Video Slot,Texas Tea Slot Review,None,0.01 - 30,Low,5 Reels / 9 Paylines,Mobile Video Slot by IGT
Video Slot,So Much Candy Slot Review,Up to 16 Free Spins / 1 high paying symbol,0.01 - 0.20,Low/Medium,5 Reels / 25 Paylines,Mobile Video Slot by Microgaming
Video Slot,Moon Shadow Slot Review,Stars at 10 Free Spins / 1 Symbol Picked as Wild,0.01 - 5.00,Medium,5 Reels / 20 Paylines,Mobile Video Slot by WMS
Video Slot,Sherlock Holmes: The Hunt for Blackwood Slot Review,,0.60 / 600,Medium,5 Reels / 30 Paylines,Mobile Video Slot by IGT
Video Slot,Monopoly Once Around Deluxe Slot Review,None,0.01 - 5.00,Medium,5 Reels / 15 Paylines,Mobile Video Slot by WMS
Classic Slot,Xmas Joker Slot Review,10 Free Spins / Mystery Prizes,0.02 - 20,Medium,3 Reels / 5 Paylines,Mobile Classic Slot by Play'nGo
Classic Slot,Aftershock Frenzy Slot Review,Up to 7 Free Spins / Guaranteed win on each spin,0.05 - 20.00,Low/Medium,3 Reels / 5 Paylines,Mobile Classic Slot by WMS
Video Slot,Hexbreaker 2 Slot Review,"Stacked Wilds, Scatters, and Free Spins,",0.01 - 10,Medium,5 Reels / 720 Ways to Win,Mobile Video Slot by IGT
Video Slot,Jack’s Beanstalk Slot Review,Starts at 3 Free Spins / Growing Wilds,0.01 - 2.00,Medium/High,5 Reels / 25 Paylines,Mobile Video Slot by NextGen
5 Reels / 40 Paylines,Cat Queen Slot Review,,"16,000",0.40 / 14,Low,Mobile Video Slot by Playtech
Video Slot,Basketball Star Slot Review,"Stacked Wilds, Wild Reels, 25 Free Spins, Cascading Reels",0.01 - 0.10,Medium,5 Reels / 243 Paylines,Mobile Video Slot by Microgaming
Video Slot,Cherry Love Slot Review,"Expanded Wilds, Scatters, Free Spins,",0.30 / 30,0.01 - 1.00,5 Reels / 30 Paylines,Mobile Video Slot by Playtech
Video Slot,Sinbad’s Golden Voyage Slot Review,,0.50 / 200,Medium,5 Reels / 1 Payline,Mobile Video Slot by Playtech
Video Slot,Crazy 7 Slot Review,,None,1999.95,3 Reels / 1 Payline,Mobile Video Slot by Playtech
Video Slot,King of Slots Slot Review,Up to 30 Free Spins / 3X Multiplier,0.01 -,Medium/High,5 Reels / 25 Paylines,Mobile Video Slot by NetEnt
Video Slot,Rage to Riches Slot Review,10 Free Spins / Up to 10x Multiplier,0.01 - 1.00,Low/Medium,5 Reels / 20 Paylines,Mobile Video Slot by Play'nGo
Video Slot,Pyramid Quest for Immortality Slot Review,Avalanche Features / Up to 10x Multipliers,0.01 - 2.00,High,5 Reels / 720 Ways to Win,Mobile Video Slot by NetEnt
Video Slot,Funky Fruits Slot Review,Collapsing Symbols,1 / 10,Low/Medium,"Over 500,000 thousand",Mobile Video Slot by Playtech
Video Slot,Golden Era Slot Review,12 Free Spins / Embracing Wild Reels,0.01 - 0.20,Medium,5 Reels / 15 Paylines,Mobile Video Slot by Microgaming
Video Slot,Red Baron Slot Review,"Wilds, Scatters, Free Spins, Multipliers",0.01 - 2.00,Medium/High,5 Reels / 243 Paylines,Mobile Video Slot by Aristocrat
Video Slot,Happy Halloween Slot Review,10 Free Spins / Increasing Stacked Wilds,0.01 - 0.40,Medium/High,5 Reels / 50 Paylines,Mobile Video Slot by Play'nGo
Video Slot,Viking Storm Slot Review,9 Free Spins / No Multipliers,0.02 - 25,Low,A Few Thousands - sometimes 10s of thousands,Mobile Video Slot by mFortune
Video Slot,Bonus Bears Slot Review,,0.25 / 25,0.01 - 1.00,5 Reels / 25 Paylines,Mobile Video Slot by Playtech
Video Slot,Arctic Treasure Slot Review,"Wilds, Scatters, Free Spins, Click Me Bonus",0.20 / 100,0.01 - 5.00,5 Reels / 20 Paylines,Mobile Video Slot by Playtech
Video Slot,Treasure Island Slot Review,"Stacked Wilds, Click Me Bonus, Free Spins, Sticky Wilds, Extra Wilds",0.50 / 100,Low,5 Reels / 40 Paylines,Mobile Video Slot by Quickspin
Video Slot,Big Ben Slot Review,Up to 25 Free Spins / 2x Multiplier,0.01 - 2.00,Medium,5 Reels / 25 Paylines,Mobile Video Slot by Aristocrat
Video Slot,Silver Bullet Slot Review,"Wilds, Scatters, Pay Both Ways",0.09 / 9,0.01 - 1.00,3 Reels / 9 Paylines,Mobile Video Slot by Playtech
Video Slot,Zeus 1000 Slot Review,Up to 30 Free Spins / Additional Zeus symbols on reels,0.01 - 5.00,Medium,5 Reels / 100 Paylines,Mobile Video Slot by WMS
Video Slot,Cash Stampede Slot Review,Starts at 8 Free Spins / Sticky wild in centre of reels,0.01 - 2.00,Medium/High,5 Reels / 243 Paylines,Mobile Video Slot by NextGen
Video Slot,Eye of the Kraken Slot Review,9 Free Spins / 2 Extra Symbols,0.01 - 10.00,Low,3 Reels / 8 Paylines,Mobile Video Slot by Play'nGo
Video Slot,Holmes And The Stolen Stones Slot Review,"24,000",Low/Medium,3.2%,"5 jackpots hitting an average of 100 to 30,000",Mobile Video Slot by Yggdrasil
Video Slot,Hook’s Heroes Slot Review,Up to 15 Free Spins / Multiple Bonus Features,0.01 - 1.00,Medium,5 Reels / 20 Paylines,Mobile Video Slot by NetEnt
5 Reels / 10 Paylines,Columbus Deluxe Slot Review,,"250,000",0.10 / 500,Low,Mobile Video Slot by Novomatic
Video Slot,Pacific Paradise Slot Review,10 Free Spins / Richer Reels,0.01 - 5.00,High,5 Reels / 720 Ways to Win,Mobile Video Slot by IGT
Video Slot,Fortunate 5 Slot Review,Unlimited Free Spins / End With Wild Storm Feature,0.02 - 0.40,Medium/High,"Upwards of 6,000",Mobile Video Slot by Playtech
Video Slot,Bier Fest Slot Review,"Scatters, Wilds, Stacked Wilds, Free Spins, Instant Cash",0.01 - 1.00,Low/Medium,5 Reels / 25 Paylines,Mobile Video Slot by Genesis
Video Slot,Double Buffalo Spirit Slot Review,,0.40 / 100,Medium,5 Reels / 1024 Ways to Win,Mobile Video Slot by WMS
Video Slot,Vikings Go Wild Slot Review,"25,000",Medium/High,3.7%,"12,500",Mobile Video Slot by Yggdrasil
Video Slot,Gold Blast Slot Review,"10,000",Low/Medium,3.3%,A few thousand at most,Mobile Video Slot by mFortune
Video Slot,Samba de Frutas Slot Review,"5 Free Spins / More Wilds, More Spins",0.01 - 10,Medium,5 Reels / 100 Paylines,Mobile Video Slot by IGT
Video Slot,Wild North Slot Review,Multiple Free Spins / Multiple Bonus Features,0.01 - 5.00,Medium,5 Reels / 40 Paylines,Mobile Video Slot by Play'nGo
From 1 to 5 Thousand,Quest for Fire Slot Review,"Click Me Bonus, Free Spins, Wilds",0.30 / 75,2 - 5,5 Reels / 15 Paylines,Mobile Video Slot by mFortune
Video Slot,Rainforest Dream Slot Review,"Replicating Wilds, Stacked Wilds, Free Spins, Big Bet",0.01 - 25,Medium,5 Reels / 40 Paylines,Mobile Video Slot by WMS
Video Slot,Taco Brothers Slot Review,,"150,000 coins",0.10 / 50,5 Reels / 243 Paylines,Mobile Video Slot
Video Slot,Rugby Star Slot Review,"Scatter Symbols, Stacked Wilds, Wild Pass Feature, Free Spins",0.50 / 50,0.01 - 0.10,5 Reels / 243 Paylines,Mobile Video Slot by Microgaming
Video Slot,Machine Gun Unicorn Slot Review,"Pays both ways, Wilds that destroys zombies",0.01 - 25,Low/Medium,5 Reels / 10 Paylines,Mobile Video Slot by Genesis
Video Slot,Mr Green Moonlight Slot Review,10 Free Spins / up to 5x Multipliers,0.01 - 0.50,Medium,5 Reels / 20 Paylines,Mobile Video Slot by NetEnt
5 Reels / 50 Paylines,Crown Gems Slot Review,Increase paylines by betting more,0.10 / 500,0.01 - 50,4.95% - 3.92%,Mobile Video Slot by Barcrest
Video Slot,Super Monopoly Money Slot Review,Usually between 8 to 15 free spins,0.01 - 3.00,Medium/High,5 Reels / 25 Paylines,Mobile Video Slot by WMS
5 Reels / 40 Paylines,Dolphin Gold Slot Review,"Stacked Wilds, Free Spins, Multipliers",0.40 / 80,0.01 - 2.00,4.69%,Mobile Video Slot
Video Slot,Crystal Queen Slot Review,10 Free Spins / 56 Paylines & Pays Both Ways,0.01 - 2.00,Low/Medium,5 Reels / 20 Paylines,Mobile Video Slot by Quickspin
Video Slot,Spin Party Slot Review,Start at 5 Free Spins / Win Guaranteed on Each Spin,0.01 - 2.00,High,5 Reels / 10 Paylines,Mobile Video Slot by Play'nGo
5 Reels / 243 Paylines,Asian Beauty Slot Review,"Wilds, Scatters, Free Spins, Click Me Bonus",0.30 / 150,0.01 - 0.50,4% - 3%,Mobile Video Slot by Microgaming
Classic Slot,Jackpot Jester Wild Nudge Slot Review,None,0.01 - 2.00,Medium/High,5 Reels / 5 Paylines,Mobile Classic Slot by NextGen
Video Slot,Dazzle Me Slot Review,Up to 16 Free Spins / Linked Reels on Every Spin,0.01 - 1.00,Medium,5 Reels / 76 Paylines,Mobile Video Slot by NetEnt
5 Reels / 5 Paylines,Black Magic Fruits Slot Review,Big Bet Option giving you wilds and extra pays,0.10 / 500,0.02 - 100,4.98% - 3.89%,Mobile Classic Slot by Barcrest
5 Reels / 50 Paylines,Horn of Plenty Slot Review,,"1,875",0.50 / 50,Low,Mobile Video Slot
Video Slot,OMG! Kittens Slot Review,Minim of 5 / Guaranteed Win of at least 10x your bet,0.01 - 2.50,Medium,5 Reels / 40 Paylines,Mobile Video Slot by WMS
Video Slot,Reef Run Slot Review,Up to 60 Free Spins / Increasing Multipliers up to 20x,0.01 - 2.00,Medium/High,5 Reels / 20 Paylines,Mobile Video Slot by Yggdrasil
Video Slot,Candy King Slot Review,Up to 9 Free Spins / No Multipliers,0.02 - 20.00,Low,A few hundred / thousands at most,Mobile Video Slot by mFortune
5 Reels / 30 Paylines,Age of Spartans Slot Review,,"5,000",0.30 / 37.50,Low,Mobile Video Slot
5 Reels / 5 Paylines,The Dark Joker Rizes Slot Review,,"6,000",0.10 / 10,Low/Medium,Mobile Video Slot by Yggdrasil
Video Slot,Alien Farm Invasion Slot Review,,0.30 / 75,0.2 - 5.00,5 Reels / 15 Paylines,Mobile Video Slot by mFortune
Video Slot,Firehouse Hounds Slot Review,"Stacked Wilds, Free Spins",0.01 - 30,Low,3 Reels / 30 Paylines,Mobile Video Slot by IGT
Video Slot,Royal Masquerade Slot Review,Starts at 5 Free Spins / Guaranteed win on every spin,0.01 - 2.00,High,5 Reels / 10 Paylines,Mobile Video Slot by Play'nGo
Video Slot,DoublePlay SuperBet Slot Review,15 Free Spins / Enhanced reels get double the amount of multipliers,0.01,High,5 Reels / 25 Paylines,Mobile Video Slot by NextGen
Video Slot,Wheel of Fortune Triple Extreme Spin Slot Review,None,0.01 - 5.00,Medium,5 Reels / 720 Ways to Win,Mobile Video Slot by IGT
Video Slot,Lucky Gems Slot Review,,"7,500",0.10 / 50,5 Reels / All Ways Pay,Mobile Video Slot
Video Slot,Supe it Up Slot Review,Win up to 30 Free Spins / 6x Multipliers,0.01 - 0.20,Medium/High,5 Reels / 25 Paylines,Mobile Video Slot by Microgaming
5 Reels / 10 Paylines,Hot Frootastic Slot Review,,0.10 / 500,0.01 - 50,4.04%,Mobile Video Slot by Barcrest
Video Slot,Big Game Slot Review,"Spin in 16 Directions, Spin Hot & Cold",0.30 / 45,0.01 - 0.10,5 Reels / 30 Paylines,Mobile Video Slot
Video Slot,Party Island Slot Review,15 Free Spins / 3x Multiplier,0.01 - 1.00,Low,5 Reels / 9 Paylines,Mobile Video Slot by Microgaming
Video Slot,Double Happiness Slot Review,Up to 25 Free Spins / Roaming Wilds and (sometimes) 10x multiplier,0.01 - 2.00,Medium,5 Reels / 25 Paylines,Mobile Video Slot by Aristocrat
5 Reels / 5 Paylines,Cyrus The Virus Slot Review,,"80,000",0.10 / 40,Medium/High,Mobile Video Slot by Yggdrasil
Video Slot,Reel Force Five Slot Review,Up to 15 Free Spins / So many wilds,0.01 - 25.00,Low,5 Reels / 25 Paylines,Mobile Video Slot by CORE Gaming
Video Slot,Fish Party Slot Review,Up to 20 Free Spins / Stacked Symbols,0.01 - 0.05,Medium/High,5 Reels / 243 Paylines,Mobile Video Slot by Microgaming
5 Reels / 100 Paylines,Summer Holiday Slot Review,"Stacked Wilds, Free Spins, Scatters, Pick a Prize",1 / 50,0.01 -,2.86%,Mobile Video Slot by Microgaming
Video Slot,Gods of Giza Slot Review,8 Free Spins / 4 'rotations' per free spin,0.01 - 10.00,Medium,5 Reels / 20 Paylines,Mobile Video Slot by Genesis
Video Slot,Kings of Cash Slot Review,Up to 25 Free Spins /  2x Multipliers,0.01 - 0.25,Low/Medium,5 Reels / 15 Paylines,Mobile Video Slot by Microgaming
Video Slot,Cash Coaster Slot Review,"Stacked Wilds, Free Spins,",0.01 - 10,Low,5 Reels / 30 Paylines,Mobile Video Slot by IGT
Video Slot,Dr Lovemore Slot Review,"Wilds, Scatters, Free Spins",0.01 - 1.00,Low/Medium,3 Reels / 20 Paylines,Mobile Video Slot by Playtech
Video Slot,Mega Glam Life Slot Review,"916,875",Medium,3.71%,400 to 800 thousand,Mobile Video Slot by BetSoft
Video Slot,Neon Staxx Slot Review,Up to 10 free spin / One high paying symbol always stacked,0.20 - 0.5,Low,5 Reels / 40 Paylines,Mobile Video Slot by NetEnt
5 Reels / 25 Paylines,Crystal Forest Slot Review,,"93,750",0.25 / 125,Low/Medium,Mobile Video Slot by WMS
Video Slot,Event Horizon Slot Review,No Free Spins / No Multiplier,0.02 - 0.25,Medium/High,5 Reels / 243 Paylines,Mobile Video Slot by BetSoft
Video Slot,Champions Goal Slot Review,Stars at 7 Free Spins / Easier to trigger Bonuses,0.01 - 5.00,Low/Medium,5 Reels / 20 Paylines,Mobile Video Slot
Video Slot,Casino Zeppelin Slot Review,Up to 20 Free Spins / With Sticky Wilds,0.01 - 0.50,Medium/High,3 Reels / 20 Paylines,Mobile Video Slot by Yggdrasil
5 Reels / 40 Paylines,King Colossus Slot Review,,"12,000",0.40 / 120,3.43%,Mobile Video Slot by Quickspin
Video Slot,Cool Wolf Slot Review,Up to 25 Free Spins / 10 Multipliers,0.01 - 0.10,Low/Medium,5 Reels / 243 Paylines,Mobile Video Slot by Microgaming
Video Slot,Apollo Rising Slot Review,Up to 3 / Up to 3 Sticky Expanded Wilds,0.01 - 10,Medium,5 Reels / 100 Paylines,Mobile Video Slot by IGT
